2026-06-09 09:32:16.578 [main] INFO  com.zaxxer.hikari.HikariDataSource.getConnection:109 - HikariPool-2 - Starting...
2026-06-09 09:32:16.579 [main] INFO  com.zaxxer.hikari.pool.HikariPool.checkFailFast:554 - HikariPool-2 - Added connection conn10: url=jdbc:h2:mem:testdb user=SA
2026-06-09 09:32:16.580 [main] INFO  com.zaxxer.hikari.HikariDataSource.getConnection:122 - HikariPool-2 - Start completed.
2026-06-09 09:32:16.824 [main] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean.buildNativeEntityManagerFactory:437 - Initialized JPA EntityManagerFactory for persistence unit 'default'
2026-06-09 09:32:17.481 [main] INFO  o.s.t.c.s.AnnotationConfigContextLoaderUtils.detectDefaultConfigurationClasses:83 - Could not detect default configuration classes for test class [br.com.arq.repository.ContaRepositoryTest]: ContaRepositoryTest does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2026-06-09 09:32:17.504 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper.getOrFindConfigurationClasses:234 - Found @SpringBootConfiguration br.com.arq.BancoApplication for test class br.com.arq.repository.ContaRepositoryTest
2026-06-09 09:32:17.533 [main] INFO  o.s.t.c.s.AnnotationConfigContextLoaderUtils.detectDefaultConfigurationClasses:83 - Could not detect default configuration classes for test class [br.com.arq.repository.TransacaoRepositoryTest]: TransacaoRepositoryTest does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2026-06-09 09:32:17.551 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper.getOrFindConfigurationClasses:234 - Found @SpringBootConfiguration br.com.arq.BancoApplication for test class br.com.arq.repository.TransacaoRepositoryTest
2026-06-09 09:32:18.206 [SpringApplicationShutdownHook] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean.destroy:650 - Closing JPA EntityManagerFactory for persistence unit 'default'
2026-06-09 09:32:18.217 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource.close:349 - HikariPool-1 - Shutdown initiated...
2026-06-09 09:32:18.220 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource.close:351 - HikariPool-1 - Shutdown completed.
2026-06-09 09:32:18.223 [SpringApplicationShutdownHook] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean.destroy:650 - Closing JPA EntityManagerFactory for persistence unit 'default'
2026-06-09 09:32:18.227 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource.close:349 - HikariPool-2 - Shutdown initiated...
2026-06-09 09:32:18.230 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource.close:351 - HikariPool-2 - Shutdown completed.
2026-06-09 09:37:41.602 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate.registerRepositoriesIn:143 - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2026-06-09 09:37:41.809 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate.registerRepositoriesIn:211 - Finished Spring Data repository scanning in 187 ms. Found 7 JPA repository interfaces.
2026-06-09 09:37:46.263 [main] INFO  o.s.o.j.p.SpringPersistenceUnitInfo.addTransformer:87 - No LoadTimeWeaver setup: ignoring JPA class transformer
2026-06-09 09:37:46.365 [main] INFO  com.zaxxer.hikari.HikariDataSource.getConnection:109 - HikariPool-1 - Starting...
2026-06-09 09:37:46.895 [main] INFO  com.zaxxer.hikari.pool.HikariPool.checkFailFast:554 - HikariPool-1 - Added connection conn0: url=jdbc:h2:mem:testdb user=SA
2026-06-09 09:37:46.899 [main] INFO  com.zaxxer.hikari.HikariDataSource.getConnection:122 - HikariPool-1 - Start completed.
2026-06-09 09:37:49.113 [main] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean.buildNativeEntityManagerFactory:437 - Initialized JPA EntityManagerFactory for persistence unit 'default'
2026-06-09 09:37:50.210 [main] INFO  o.s.d.j.r.query.QueryEnhancerFactory.<clinit>:49 - Hibernate is in classpath; If applicable, HQL parser will be used.
2026-06-09 09:37:53.474 [main] INFO  o.s.b.a.h.H2ConsoleAutoConfiguration.logDataSources:88 - H2 console available at '/h2-console'. Database available at 'jdbc:h2:mem:testdb'
2026-06-09 09:37:53.590 [main] INFO  o.s.b.t.m.w.SpringBootMockServletContext.log:437 - Initializing Spring TestDispatcherServlet ''
2026-06-09 09:37:53.591 [main] INFO  o.s.t.w.s.TestDispatcherServlet.initServletBean:532 - Initializing Servlet ''
2026-06-09 09:37:53.594 [main] INFO  o.s.t.w.s.TestDispatcherServlet.initServletBean:554 - Completed initialization in 3 ms
2026-06-09 09:37:54.069 [main] INFO  o.s.t.c.s.AnnotationConfigContextLoaderUtils.detectDefaultConfigurationClasses:83 - Could not detect default configuration classes for test class [br.com.arq.controller.AdminControllerTest]: AdminControllerTest does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2026-06-09 09:37:54.147 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper.getOrFindConfigurationClasses:234 - Found @SpringBootConfiguration br.com.arq.BancoApplication for test class br.com.arq.controller.AdminControllerTest
2026-06-09 09:37:54.154 [main] INFO  o.s.b.d.r.RestartApplicationListener.onApplicationStartingEvent:74 - Restart disabled due to context in which it is running
2026-06-09 09:37:54.792 [main] INFO  o.s.b.t.m.w.SpringBootMockServletContext.log:437 - Initializing Spring TestDispatcherServlet ''
2026-06-09 09:37:54.793 [main] INFO  o.s.t.w.s.TestDispatcherServlet.initServletBean:532 - Initializing Servlet ''
2026-06-09 09:37:54.796 [main] INFO  o.s.t.w.s.TestDispatcherServlet.initServletBean:554 - Completed initialization in 1 ms
2026-06-09 09:37:55.285 [main] INFO  o.s.t.c.s.AnnotationConfigContextLoaderUtils.detectDefaultConfigurationClasses:83 - Could not detect default configuration classes for test class [br.com.arq.exception.GlobalExceptionHandlerTest]: GlobalExceptionHandlerTest does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2026-06-09 09:37:55.346 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper.getOrFindConfigurationClasses:234 - Found @SpringBootConfiguration br.com.arq.BancoApplication for test class br.com.arq.exception.GlobalExceptionHandlerTest
2026-06-09 09:37:55.354 [main] INFO  o.s.b.d.r.RestartApplicationListener.onApplicationStartingEvent:74 - Restart disabled due to context in which it is running
2026-06-09 09:37:55.827 [main] INFO  o.s.b.t.m.w.SpringBootMockServletContext.log:437 - Initializing Spring TestDispatcherServlet ''
2026-06-09 09:37:55.828 [main] INFO  o.s.t.w.s.TestDispatcherServlet.initServletBean:532 - Initializing Servlet ''
2026-06-09 09:37:55.830 [main] INFO  o.s.t.w.s.TestDispatcherServlet.initServletBean:554 - Completed initialization in 1 ms
2026-06-09 09:37:55.937 [main] INFO  o.s.t.c.s.AnnotationConfigContextLoaderUtils.detectDefaultConfigurationClasses:83 - Could not detect default configuration classes for test class [br.com.arq.repository.ClienteRepositoryTest]: ClienteRepositoryTest does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2026-06-09 09:37:56.001 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper.getOrFindConfigurationClasses:234 - Found @SpringBootConfiguration br.com.arq.BancoApplication for test class br.com.arq.repository.ClienteRepositoryTest
2026-06-09 09:37:56.007 [main] INFO  o.s.b.d.r.RestartApplicationListener.onApplicationStartingEvent:74 - Restart disabled due to context in which it is running
2026-06-09 09:37:56.245 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate.registerRepositoriesIn:143 - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2026-06-09 09:37:56.288 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate.registerRepositoriesIn:211 - Finished Spring Data repository scanning in 41 ms. Found 7 JPA repository interfaces.
2026-06-09 09:37:56.458 [main] INFO  o.s.o.j.p.SpringPersistenceUnitInfo.addTransformer:87 - No LoadTimeWeaver setup: ignoring JPA class transformer
2026-06-09 09:37:56.463 [main] INFO  com.zaxxer.hikari.HikariDataSource.getConnection:109 - HikariPool-2 - Starting...
2026-06-09 09:37:56.466 [main] INFO  com.zaxxer.hikari.pool.HikariPool.checkFailFast:554 - HikariPool-2 - Added connection conn10: url=jdbc:h2:mem:testdb user=SA
